contig	gene	gene_id	gene_start	gene_end	strand	annotation	read_count	total_overlap_bp	best_mapq	example_read
NC_058374.1	CELF2	gene-CELF2	10006822	10847640	+	GeneID:101083775,VGNC:VGNC:60745	5	6605	60	4e3f8d2f-2453-4101-8baa-ee9e67a8eb82
NC_058380.1	LOC123381495	gene-LOC123381495	19987756	20643774	+	GeneID:123381495	5	6601	60	516ddb9c-8d3b-4799-a712-42ca08526ad6
NC_058372.1	LOC109499610	gene-LOC109499610	28689388	28836313	+	GeneID:109499610	5	6467	60	c0d561b1-4cab-4b0a-85e8-fdf70056d0c3
NC_058372.1	SMAP1	gene-SMAP1	63603703	63883438	+	GeneID:101090107,VGNC:VGNC:102520	5	6351	60	2d5ec06e-4741-4756-bb96-2069753a291a
NC_058374.1	GRIP1	gene-GRIP1	91445430	92140629	-	GeneID:101090781,VGNC:VGNC:62714	5	6258	60	65a1f6fc-c503-418e-87ef-52bb87a3d31d
NC_058381.1	LOC123381925	gene-LOC123381925	7668406	7903003	-	GeneID:123381925	5	6193	60	f9b6366c-983c-4044-a53f-3d04ae6b3705
NC_058375.1	BAZ2B	gene-BAZ2B	148724974	149225533	-	GeneID:101093380	5	6118	60	061df060-e25d-4106-b27a-be4323f04924
NC_058382.1	LOC111557992	gene-LOC111557992	46654223	47129173	+	GeneID:111557992	5	6082	60	e52fb61d-561e-4e5b-be67-37f447453d61
NC_058385.1	ZFPM2	gene-ZFPM2	50677097	51144226	+	GeneID:101086875,VGNC:VGNC:67234	5	5955	60	af9aa23a-15fb-451e-b400-a6562dad8d76
NC_058371.1	NEK1	gene-NEK1	58738722	58967059	+	GeneID:101094016,VGNC:VGNC:78531	5	5917	60	73496f98-366a-427f-961c-368c5ece4ed4
NC_058376.1	ZBTB20	gene-ZBTB20	60577004	61366486	-	GeneID:101093386,VGNC:VGNC:67164	5	5915	60	cf0a0fd8-5ff0-452f-8956-8a96c554b328
NC_058372.1	LOC109499790	gene-LOC109499790	87772730	88192018	+	GeneID:109499790	5	5800	60	ea987513-dbc7-4dee-9d3a-f864348d6a4a
NC_058375.1	LOC123379666	gene-LOC123379666	67062557	67455733	-	GeneID:123379666	5	5724	60	3fffeff9-29de-42ca-93f3-efd5c615e05e
NC_058377.1	NAV2	gene-NAV2	74972657	75715458	+	GeneID:101082943,VGNC:VGNC:81976	5	5613	60	1878efad-41f4-4a10-9e73-408b422cd2ab
NC_058384.1	USH2A	gene-USH2A	53117465	53891259	-	GeneID:101091499	5	5489	60	e38068d4-cb6d-4314-b1ad-63028685016c
NC_058375.1	CSMD2	gene-CSMD2	25415985	26018458	-	GeneID:101084557,VGNC:VGNC:61223	5	5447	60	3fecef95-fbf4-4856-b6bb-7337c419d5be
NC_058371.1	LRBA	gene-LRBA	76345207	77121152	+	GeneID:101093432,VGNC:VGNC:107341	5	5406	60	3d2065ee-f1d0-4ce5-a2b1-27a652e2d1ed
NC_058370.1	LOC111559819	gene-LOC111559819	77855611	78368293	-	GeneID:111559819	5	5386	60	6532de78-26dc-45cf-9971-b30774240362
NC_058371.1	KIAA1109	gene-KIAA1109	101781581	101993122	-	GeneID:101087660,VGNC:VGNC:63090	5	5382	60	0ea67b1d-8945-45e2-841d-720a626a0915
NC_058380.1	VPS13A	gene-VPS13A	18842987	19096867	+	GeneID:101097678,VGNC:VGNC:66954	5	5149	60	6454067e-196d-4700-9a26-f848271a9a49
NC_058376.1	CMSS1	gene-CMSS1	47566386	47948023	+	GeneID:101092388,VGNC:VGNC:102676	5	5071	60	a56d727e-0ea0-427d-b1cf-f2d4c00ff127
NC_058376.1	FILIP1L	gene-FILIP1L	47572399	47875712	-	GeneID:101092134,VGNC:VGNC:62274	5	5071	60	a56d727e-0ea0-427d-b1cf-f2d4c00ff127
NC_058382.1	LOC123382235	gene-LOC123382235	37127743	37762577	+	GeneID:123382235	5	4998	60	932094f7-8baf-459b-b038-e5d14e500977
NC_058384.1	DNM3	gene-DNM3	13957173	14526465	+	GeneID:101090983,VGNC:VGNC:107868	5	4960	60	82501361-ce75-476e-9fd7-d14249a88110
NC_058368.1	CLINT1	gene-CLINT1	189789986	189849300	+	GeneID:101080867,VGNC:VGNC:97382	5	4918	60	8b65a534-5109-4893-8fa3-ca5287416911
NC_058386.1	ZC3H12B	gene-ZC3H12B	52348242	52831153	+	GeneID:101093258	5	4883	60	0bccba48-b63d-4e8f-848c-1b1cefc7fde4
NC_058369.1	SUMF1	gene-SUMF1	46138141	46233357	-	GeneID:101100288,VGNC:VGNC:65840	5	4837	60	1598d33f-99d7-416e-b9e3-23922b5eafde
NC_058376.1	ZPLD1	gene-ZPLD1	49446021	49992724	+	GeneID:101096592,VGNC:VGNC:67377	5	4788	60	72273e57-9a42-4579-9b08-7a0bd26ab41f
NC_058369.1	DOCK3	gene-DOCK3	19612604	20216028	+	GeneID:101090678,VGNC:VGNC:61572	5	4712	60	83410e80-e10a-483b-b0a8-4a25e2c3b77d
NC_058379.1	LOC111557339	gene-LOC111557339	75812251	76055313	-	GeneID:111557339	5	4704	60	0603ffd7-9f43-4bca-9b0f-c42ed5c39c1b
NC_058377.1	NTM	gene-NTM	28000462	28943961	+	GeneID:101094371,VGNC:VGNC:81966	5	4697	60	98ffac86-1373-43a5-b6ee-ec06ea0c7c9b
NC_058378.1	LOC123380722	gene-LOC123380722	54546	104796	-	GeneID:123380722	5	4651	49	85cb2238-0004-455b-a003-d37d93ba83d1
NC_058368.1	LOC109502461	gene-LOC109502461	159498938	159805793	+	GeneID:109502461	5	4632	60	e1ff4c92-e831-41dc-ab18-27e5af0ef1ec
NC_058370.1	LOC109498383	gene-LOC109498383	127148574	127551774	+	GeneID:109498383	5	4623	60	30415d49-d383-4e35-938d-957abcdff59e
NC_058372.1	ASCC3	gene-ASCC3	90211283	90572774	-	GeneID:101086653,VGNC:VGNC:59968	5	4587	60	ae25ecb1-3756-4924-b4af-3e4a3c6a90b8
NC_058370.1	LTBP1	gene-LTBP1	113173566	113576235	-	GeneID:101084534,VGNC:VGNC:81116	5	4561	60	3443998e-6ed4-468f-bef0-ec447b93e8bb
